Clave,Fecha, Almacenamiento(hmÂ³)
ARCSO,2020-02-10,390.35
PMOSO,2020-02-10,42.23
ARLSO,2020-02-10,21.98
CHTSO,2020-02-10,12.84
IRASO,2020-02-10,0.8
IRASO,2020-02-11,0.77
CHTSO,2020-02-11,12.75
ARLSO,2020-02-11,22.38
PMOSO,2020-02-11,41.56
ARCSO,2020-02-11,389.66
AGZCH,2020-02-11,78.21
AOBSO,2020-02-11,1566.11
PECSO,2020-02-11,2192.09
LCDSO,2020-02-11,719.09
LCDSO,2020-02-12,719.48
PECSO,2020-02-12,2190.46
AOBSO,2020-02-12,1554.45
AGZCH,2020-02-12,78.21
ARCSO,2020-02-12,388.27
PMOSO,2020-02-12,40.88
ARLSO,2020-02-12,22.38
CHTSO,2020-02-12,12.68
IRASO,2020-02-12,0.73
IRASO,2020-02-13,0.69
CHTSO,2020-02-13,12.62
ARLSO,2020-02-13,22.38
PMOSO,2020-02-13,40.2
ARCSO,2020-02-13,388.27
AGZCH,2020-02-13,78.21
AOBSO,2020-02-13,1542.78
PECSO,2020-02-13,2189.65
LCDSO,2020-02-13,722.98
LCDSO,2020-02-14,733.09
PECSO,2020-02-14,2190.46
AOBSO,2020-02-14,1534.62
AGZCH,2020-02-14,78.14
ARCSO,2020-02-14,387.57
PMOSO,2020-02-14,39.53
ARLSO,2020-02-14,22.38
CHTSO,2020-02-14,12.55
IRASO,2020-02-14,0.62
IRASO,2020-02-15,0.54
CHTSO,2020-02-15,12.49
ARLSO,2020-02-15,22.38
PMOSO,2020-02-15,38.85
ARCSO,2020-02-15,386.87
AGZCH,2020-02-15,78.14
AOBSO,2020-02-15,1527.62
PECSO,2020-02-15,2194.52
LCDSO,2020-02-15,738.93
LCDSO,2020-02-16,741.65
PECSO,2020-02-16,2198.58
AOBSO,2020-02-16,1519.45
AGZCH,2020-02-16,78.14
ARCSO,2020-02-16,385.83
PMOSO,2020-02-16,38.17
ARLSO,2020-02-16,22.38
CHTSO,2020-02-16,12.45
IRASO,2020-02-16,0.47
IRASO,2020-02-17,0.42
CHTSO,2020-02-17,12.45
ARLSO,2020-02-17,22.38
PMOSO,2020-02-17,37.5
ARCSO,2020-02-17,384.1
AGZCH,2020-02-17,78.14
AOBSO,2020-02-17,1511.29
PECSO,2020-02-17,2205.89
LCDSO,2020-02-17,742.82
LCDSO,2020-02-18,742.82
PECSO,2020-02-18,2208.44
AOBSO,2020-02-18,1501.95
AGZCH,2020-02-18,78.08
ARCSO,2020-02-18,381.66
PMOSO,2020-02-18,36.82
ARLSO,2020-02-18,22.38
CHTSO,2020-02-18,12.42
IRASO,2020-02-18,0.39
IRASO,2020-02-19,0.38
CHTSO,2020-02-19,12.39
ARLSO,2020-02-19,22.59
PMOSO,2020-02-19,36.14
ARCSO,2020-02-19,379.23
AGZCH,2020-02-19,78.08
AOBSO,2020-02-19,1491.45
PECSO,2020-02-19,2209.3
LCDSO,2020-02-19,742.43
LCDSO,2020-02-20,741.26
PECSO,2020-02-20,2209.3
AOBSO,2020-02-20,1480.96
