Clave,Fecha, Almacenamiento(hmÂ³)
ARCSO,1980/01/30,291.79
AGZCH,1980/01/30,45.55
AOBSO,1980/01/30,1393.65
PECSO,1980/01/30,1700.5
LCDSO,1980/01/30,264.00
IRASO,1980/01/30,18.32
CHTSO,1980/01/30,31.33
LCDSO,1980/01/31,264.00
PECSO,1980/01/31,1694.2
AOBSO,1980/01/31,1392.62
AGZCH,1980/01/31,45.55
ARCSO,1980/01/31,288.19
PMOSO,1980/01/31,-
ARLSO,1980/01/31,82.78
CHTSO,1980/01/31,31.38
IRASO,1980/01/31,18.22
ARLSO,1980/02/01,82.05
PMOSO,1980/02/01,-
ARCSO,1980/02/01,284.85
AGZCH,1980/02/01,45.50
AOBSO,1980/02/01,1390.56
PECSO,1980/02/01,1687.2
LCDSO,1980/02/01,264.00
IRASO,1980/02/01,18.10
CHTSO,1980/02/01,31.42
LCDSO,1980/02/02,263.80
PECSO,1980/02/02,1679.5
AOBSO,1980/02/02,1388.5
AGZCH,1980/02/02,45.45
ARCSO,1980/02/02,281.52
PMOSO,1980/02/02,-
ARLSO,1980/02/02,81.51
CHTSO,1980/02/02,31.38
IRASO,1980/02/02,17.97
ARLSO,1980/02/03,80.96
PMOSO,1980/02/03,-
ARCSO,1980/02/03,278.18
AGZCH,1980/02/03,45.41
AOBSO,1980/02/03,1386.44
PECSO,1980/02/03,1674.6
LCDSO,1980/02/03,263.60
IRASO,1980/02/03,17.84
CHTSO,1980/02/03,31.38
LCDSO,1980/02/04,263.80
PECSO,1980/02/04,1669.7
AOBSO,1980/02/04,1383.35
AGZCH,1980/02/04,45.41
ARCSO,1980/02/04,274.58
PMOSO,1980/02/04,-
ARLSO,1980/02/04,80.23
CHTSO,1980/02/04,31.38
IRASO,1980/02/04,17.75
ARLSO,1980/02/05,79.69
PMOSO,1980/02/05,-
ARCSO,1980/02/05,270.99
AGZCH,1980/02/05,45.36
AOBSO,1980/02/05,1380.26
PECSO,1980/02/05,1663.4
LCDSO,1980/02/05,263.60
IRASO,1980/02/05,17.62
CHTSO,1980/02/05,31.33
LCDSO,1980/02/06,263.80
PECSO,1980/02/06,1664.8
AOBSO,1980/02/06,1376.14
AGZCH,1980/02/06,45.32
ARCSO,1980/02/06,267.65
PMOSO,1980/02/06,-
ARLSO,1980/02/06,79.32
CHTSO,1980/02/06,31.33
IRASO,1980/02/06,17.52
ARLSO,1980/02/07,78.59
PMOSO,1980/02/07,-
ARCSO,1980/02/07,264.31
AGZCH,1980/02/07,45.27
AOBSO,1980/02/07,1369.96
PECSO,1980/02/07,1660.6
LCDSO,1980/02/07,263.80
IRASO,1980/02/07,17.39
CHTSO,1980/02/07,31.33
LCDSO,1980/02/08,263.80
PECSO,1980/02/08,1658.5
AOBSO,1980/02/08,1359.66
AGZCH,1980/02/08,45.22
ARCSO,1980/02/08,261.11
PMOSO,1980/02/08,-
ARLSO,1980/02/08,76.39
CHTSO,1980/02/08,31.29
IRASO,1980/02/08,17.27
ARLSO,1980/02/09,77.38
PMOSO,1980/02/09,-
ARCSO,1980/02/09,258.02
AGZCH,1980/02/09,45.18
AOBSO,1980/02/09,1349.36
PECSO,1980/02/09,1661.3
LCDSO,1980/02/09,264.00
IRASO,1980/02/09,17.20
CHTSO,1980/02/09,31.29
LCDSO,1980/02/10,263.80
PECSO,1980/02/10,1662.0
AOBSO,1980/02/10,1343.18
AGZCH,1980/02/10,45.13
ARCSO,1980/02/10,255.14
PMOSO,1980/02/10,-
ARLSO,1980/02/10,76.72
CHTSO,1980/02/10,31.29
IRASO,1980/02/10,17.09
ARLSO,1980/02/11,76.06
PMOSO,1980/02/11,-
ARCSO,1980/02/11,252.05
AGZCH,1980/02/11,45.08
AOBSO,1980/02/11,1333.12
PECSO,1980/02/11,1661.3
LCDSO,1980/02/11,263.60
IRASO,1980/02/11,16.96
CHTSO,1980/02/11,31.24
LCDSO,1980/02/12,263.60
PECSO,1980/02/12,1660.6
AOBSO,1980/02/12,1325.36
AGZCH,1980/02/12,45.08
ARCSO,1980/02/12,248.95
PMOSO,1980/02/12,-
ARLSO,1980/02/12,75.72
CHTSO,1980/02/12,31.15
IRASO,1980/02/12,16.82
ARLSO,1980/02/13,75.56
PMOSO,1980/02/13,-
ARCSO,1980/02/13,245.63
AGZCH,1980/02/13,45.04
AOBSO,1980/02/13,1310.81
PECSO,1980/02/13,1660.6
LCDSO,1980/02/13,263.60
IRASO,1980/02/13,16.71
CHTSO,1980/02/13,31.11
LCDSO,1980/02/14,263.40
PECSO,1980/02/14,1660.6
AOBSO,1980/02/14,1307.9
AGZCH,1980/02/14,44.99
ARCSO,1980/02/14,242.53
PMOSO,1980/02/14,-
ARLSO,1980/02/14,75.56
CHTSO,1980/02/14,31.11
IRASO,1980/02/14,16.66
ARLSO,1980/02/15,75.56
PMOSO,1980/02/15,-
ARCSO,1980/02/15,239.66
AGZCH,1980/02/15,44.94
AOBSO,1980/02/15,1297.23
PECSO,1980/02/15,1662.0
LCDSO,1980/02/15,263.40
IRASO,1980/02/15,16.63
CHTSO,1980/02/15,31.38
LCDSO,1980/02/16,271.20
PECSO,1980/02/16,1665.5
AOBSO,1980/02/16,1282.68
AGZCH,1980/02/16,44.90
ARCSO,1980/02/16,236.34
PMOSO,1980/02/16,-
ARLSO,1980/02/16,75.39
CHTSO,1980/02/16,31.38
IRASO,1980/02/16,16.63
ARLSO,1980/02/17,75.89
PMOSO,1980/02/17,-
ARCSO,1980/02/17,233.24
AGZCH,1980/02/17,44.90
AOBSO,1980/02/17,1272.98
PECSO,1980/02/17,1669.0
LCDSO,1980/02/17,276.00
IRASO,1980/02/17,16.60
CHTSO,1980/02/17,31.51
LCDSO,1980/02/18,278.00
PECSO,1980/02/18,1670.4
AOBSO,1980/02/18,1265.22
AGZCH,1980/02/18,44.90
ARCSO,1980/02/18,229.93
PMOSO,1980/02/18,-
ARLSO,1980/02/18,76.06
CHTSO,1980/02/18,31.56
IRASO,1980/02/18,16.49
ARLSO,1980/02/19,75.89
PMOSO,1980/02/19,-
ARCSO,1980/02/19,226.39
AGZCH,1980/02/19,44.85
AOBSO,1980/02/19,1256.49
PECSO,1980/02/19,1671.8
LCDSO,1980/02/19,280.00
IRASO,1980/02/19,16.44
CHTSO,1980/02/19,31.65
LCDSO,1980/02/20,282.00
PECSO,1980/02/20,1673.2
AOBSO,1980/02/20,1246.79
AGZCH,1980/02/20,44.85
ARCSO,1980/02/20,222.85
PMOSO,1980/02/20,-
ARLSO,1980/02/20,75.72
CHTSO,1980/02/20,31.74
IRASO,1980/02/20,16.33
ARLSO,1980/02/21,75.39
PMOSO,1980/02/21,-
ARCSO,1980/02/21,219.31
AGZCH,1980/02/21,44.80
AOBSO,1980/02/21,1237.24
PECSO,1980/02/21,1673.9
LCDSO,1980/02/21,282.60
IRASO,1980/02/21,16.19
CHTSO,1980/02/21,31.83
LCDSO,1980/02/22,283.00
PECSO,1980/02/22,1675.3
AOBSO,1980/02/22,1228.04
AGZCH,1980/02/22,44.80
ARCSO,1980/02/22,215.55
PMOSO,1980/02/22,-
ARLSO,1980/02/22,74.73
CHTSO,1980/02/22,31.87
IRASO,1980/02/22,15.97
ARLSO,1980/02/23,74.06
PMOSO,1980/02/23,-
ARCSO,1980/02/23,212.01
AGZCH,1980/02/23,44.76
AOBSO,1980/02/23,1217.0
PECSO,1980/02/23,1676.7
LCDSO,1980/02/23,284.00
IRASO,1980/02/23,15.83
CHTSO,1980/02/23,31.92
LCDSO,1980/02/24,285.20
PECSO,1980/02/24,1677.4
AOBSO,1980/02/24,1207.8
AGZCH,1980/02/24,44.76
ARCSO,1980/02/24,208.25
PMOSO,1980/02/24,-
ARLSO,1980/02/24,73.4
CHTSO,1980/02/24,31.96
IRASO,1980/02/24,15.78
ARLSO,1980/02/25,72.9
PMOSO,1980/02/25,-
ARCSO,1980/02/25,204.14
AGZCH,1980/02/25,44.76
AOBSO,1980/02/25,1194.0
PECSO,1980/02/25,1672.5
LCDSO,1980/02/25,286.00
IRASO,1980/02/25,15.73
CHTSO,1980/02/25,32.01
LCDSO,1980/02/26,286.80
PECSO,1980/02/26,1671.8
AOBSO,1980/02/26,1181.12
AGZCH,1980/02/26,44.71
ARCSO,1980/02/26,199.94
PMOSO,1980/02/26,-
ARLSO,1980/02/26,72.4
CHTSO,1980/02/26,32.05
IRASO,1980/02/26,15.53
ARLSO,1980/02/27,71.91
PMOSO,1980/02/27,-
ARCSO,1980/02/27,195.73
AGZCH,1980/02/27,44.71
AOBSO,1980/02/27,1174.68
PECSO,1980/02/27,1669.7
LCDSO,1980/02/27,287.40
IRASO,1980/02/27,15.31
CHTSO,1980/02/27,32.05
LCDSO,1980/02/28,287.60
PECSO,1980/02/28,1666.9
AOBSO,1980/02/28,1163.64
AGZCH,1980/02/28,44.71
ARCSO,1980/02/28,191.71
PMOSO,1980/02/28,-
ARLSO,1980/02/28,70.91
CHTSO,1980/02/28,32.05
IRASO,1980/02/28,15.10
ARLSO,1980/02/29,70.08
PMOSO,1980/02/29,-
ARCSO,1980/02/29,187.87
AGZCH,1980/02/29,44.66
AOBSO,1980/02/29,1151.68
PECSO,1980/02/29,1664.1
LCDSO,1980/02/29,286.80
IRASO,1980/02/29,14.90
CHTSO,1980/02/29,32.01
LCDSO,1980/03/01,286.00
PECSO,1980/03/01,1662.7
AOBSO,1980/03/01,1143.08
AGZCH,1980/03/01,44.66
ARCSO,1980/03/01,183.67
PMOSO,1980/03/01,-
ARLSO,1980/03/01,69.32
CHTSO,1980/03/01,32.05
IRASO,1980/03/01,14.74
ARLSO,1980/03/02,68.46
PMOSO,1980/03/02,-
ARCSO,1980/03/02,179.65
